episode,steps,return,success,target,start_bin,delivered_bin,designer_bonus,intervention_kind,interventions_total,wallclock_s,global_step
247,1,-0.163,0,B,9,9,0.0,stuck,124,1562.9,39491
248,300,-53.456,0,B,9,9,0.0,,124,1576.2,39791
249,1,-0.182,0,B,9,17,0.0,stuck,125,1576.3,39792
250,300,-52.15,0,B,17,17,0.0,,125,1589.3,40092
251,1,-0.198,0,B,17,1,0.0,stuck,126,1589.4,40093
252,300,-59.105,0,B,1,1,0.0,,126,1602.3,40393
253,1,-0.183,0,B,1,16,0.0,stuck,127,1602.3,40394
254,300,-55.501,0,B,16,16,0.0,,127,1615.4,40694
255,1,-0.209,0,B,16,18,0.0,stuck,128,1615.4,40695
256,92,-4.639,1,A,18,21,0.0,,128,1619.5,40787
257,300,-52.897,0,A,21,21,0.0,,128,1632.7,41087
258,1,-0.155,0,A,21,6,0.0,stuck,129,1632.7,41088
259,300,-59.962,0,A,6,7,0.0,,129,1646.0,41388
260,130,-26.604,0,A,7,30,0.0,escape,130,1651.8,41518
261,300,-55.075,0,A,30,30,0.0,,130,1665.3,41818
262,1,-0.177,0,A,30,30,0.0,stuck,131,1665.4,41819
263,300,-63.276,0,A,30,30,0.0,,131,1678.7,42119
264,1,-0.196,0,A,30,22,0.0,stuck,132,1678.7,42120
265,300,-61.587,0,A,22,23,0.0,,132,1692.2,42420
266,146,-31.471,0,A,23,23,0.0,stuck,133,1698.8,42566
267,300,-69.056,0,A,23,23,0.0,,133,1715.7,42866
268,280,-65.114,0,A,23,23,0.0,stuck,134,1729.6,43146
269,300,-61.046,0,A,23,23,0.0,,134,1745.8,43446
270,1,-0.211,0,A,23,15,0.0,stuck,135,1745.8,43447
271,300,-57.889,0,A,15,15,0.0,,135,1759.9,43747
272,1,-0.208,0,A,15,14,0.0,stuck,136,1759.9,43748
273,300,-52.918,0,A,14,14,0.0,,136,1773.0,44048
274,1,-0.185,0,A,14,15,0.0,stuck,137,1773.0,44049
275,300,-63.791,0,A,15,15,0.0,,137,1786.4,44349
276,1,-0.22,0,A,15,21,0.0,stuck,138,1786.4,44350
277,300,-47.848,0,A,21,21,0.0,,138,1800.0,44650
278,1,-0.16,0,A,21,15,0.0,stuck,139,1800.0,44651
279,300,-66.045,0,A,15,15,0.0,,139,1814.3,44951
280,1,-0.224,0,A,15,14,0.0,stuck,140,1814.3,44952
281,300,-56.748,0,A,14,14,0.0,,140,1828.9,45252
282,1,-0.19,0,A,14,21,0.0,stuck,141,1829.0,45253
283,300,-46.275,0,A,21,21,0.0,,141,1845.0,45553
284,1,-0.154,0,A,21,6,0.0,stuck,142,1845.1,45554
285,300,-55.944,0,A,6,6,0.0,,142,1859.8,45854
286,1,-0.181,0,A,6,14,0.0,stuck,143,1859.9,45855
287,300,-58.382,0,A,14,14,0.0,,143,1875.4,46155
288,1,-0.191,0,A,14,23,0.0,stuck,144,1875.5,46156
289,300,-58.264,0,A,23,23,0.0,,144,1891.0,46456
290,1,-0.211,0,A,23,23,0.0,stuck,145,1891.1,46457
291,300,-60.641,0,A,23,23,0.0,,145,1905.3,46757
292,1,-0.209,0,A,23,22,0.0,stuck,146,1905.3,46758
293,300,-45.139,0,A,22,31,0.0,,146,1922.4,47058
294,168,-35.823,0,A,31,14,0.0,stuck,147,1932.2,47226
295,300,-54.275,0,A,14,22,0.0,,147,1947.0,47526
296,117,-21.294,0,A,22,14,0.0,stuck,148,1952.2,47643
297,257,-26.294,0,A,14,14,0.0,escape,149,1963.5,47900
298,300,-46.685,0,A,14,7,0.0,,149,1978.0,48200
299,193,-47.167,0,A,7,13,0.0,stuck,150,1987.2,48393
300,300,-64.008,0,A,13,15,0.0,,150,2002.0,48693
301,252,-58.09,0,A,15,14,0.0,stuck,151,2013.3,48945
302,300,-61.69,0,A,14,15,0.0,,151,2026.7,49245
303,283,-68.525,0,A,15,14,0.0,stuck,152,2038.9,49528
304,300,-64.931,0,A,14,14,0.0,,152,2052.5,49828
305,1,-0.202,0,A,14,14,0.0,stuck,153,2052.6,49829
306,300,-61.852,0,A,14,14,0.0,,153,2140.0,50129
307,1,-0.2,0,A,14,30,0.0,stuck,154,2140.0,50130
308,300,-51.127,0,A,30,30,0.0,,154,2153.3,50430
309,1,-0.17,0,A,30,22,0.0,stuck,155,2153.4,50431
310,300,-48.739,0,A,22,22,0.0,,155,2167.1,50731
311,1,-0.176,0,A,22,21,0.0,stuck,156,2167.1,50732
312,300,-48.258,0,A,21,21,0.0,,156,2181.3,51032
313,1,-0.16,0,A,21,23,0.0,stuck,157,2181.4,51033
314,300,-61.71,0,A,23,23,0.0,,157,2196.7,51333
315,1,-0.209,0,A,23,30,0.0,stuck,158,2196.7,51334
316,300,-51.404,0,A,30,30,0.0,,158,2211.3,51634
317,1,-0.185,0,A,30,14,0.0,stuck,159,2211.3,51635
318,300,-56.563,0,A,14,14,0.0,,159,2225.1,51935
319,1,-0.198,0,A,14,22,0.0,stuck,160,2225.1,51936
320,300,-47.483,0,A,22,22,0.0,,160,2239.0,52236
321,1,-0.16,0,A,22,23,0.0,stuck,161,2239.1,52237
322,300,-62.88,0,A,23,23,0.0,,161,2252.5,52537
323,1,-0.218,0,A,23,22,0.0,stuck,162,2252.5,52538
324,300,-48.069,0,A,22,22,0.0,,162,2265.6,52838
